
keyword,gig_count,avg_price,search_volume_estimate,competition_score,conversion_potential,trend_score,comprehensive_score,competitor_data,market_insights
fast website design,10,100.0,139.99999999999997,3,11.0,1.0,4.325000000000001,"[{'position': 1, 'title': 'N/A', 'price': 50, 'seller_level': 'New Seller', 'delivery_time': '2 days'}, {'position': 2, 'title': 'N/A', 'price': 50, 'seller_level': 'New Seller', 'delivery_time': '2 days'}, {'position': 3, 'title': 'I’m looking to hire', 'price': 50, 'seller_level': 'New Seller', 'delivery_time': '2 days'}]","{'common_title_words': {'looking': 1, 'hire': 1}, 'pricing_benchmarks': {'min_price': 50, 'max_price': 50, 'avg_price': 50.0, 'median_price': 50}, 'recommended_price_range': {'low': 40.0, 'medium': 50.0, 'high': 60.0}, 'top_performer_characteristics': {'avg_title_length': 8.333333333333334, 'common_seller_levels': {'New Seller': 3}, 'delivery_times': ['2 days', '2 days', '2 days'], 'price_range': {'min': 50, 'max': 50}}}"
premium website design,10,100.0,139.99999999999997,3,11.0,1.0,4.325000000000001,"[{'position': 1, 'title': 'N/A', 'price': 50, 'seller_level': 'New Seller', 'delivery_time': '2 days'}, {'position': 2, 'title': 'N/A', 'price': 50, 'seller_level': 'New Seller', 'delivery_time': '2 days'}, {'position': 3, 'title': 'I’m looking to hire', 'price': 50, 'seller_level': 'New Seller', 'delivery_time': '2 days'}]","{'common_title_words': {'looking': 1, 'hire': 1}, 'pricing_benchmarks': {'min_price': 50, 'max_price': 50, 'avg_price': 50.0, 'median_price': 50}, 'recommended_price_range': {'low': 40.0, 'medium': 50.0, 'high': 60.0}, 'top_performer_characteristics': {'avg_title_length': 8.333333333333334, 'common_seller_levels': {'New Seller': 3}, 'delivery_times': ['2 days', '2 days', '2 days'], 'price_range': {'min': 50, 'max': 50}}}"
affordable website design,10,100.0,139.99999999999997,3,11.0,1.0,4.325000000000001,"[{'position': 1, 'title': 'N/A', 'price': 50, 'seller_level': 'New Seller', 'delivery_time': '2 days'}, {'position': 2, 'title': 'N/A', 'price': 50, 'seller_level': 'New Seller', 'delivery_time': '2 days'}, {'position': 3, 'title': 'I’m looking to hire', 'price': 50, 'seller_level': 'New Seller', 'delivery_time': '2 days'}]","{'common_title_words': {'looking': 1, 'hire': 1}, 'pricing_benchmarks': {'min_price': 50, 'max_price': 50, 'avg_price': 50.0, 'median_price': 50}, 'recommended_price_range': {'low': 40.0, 'medium': 50.0, 'high': 60.0}, 'top_performer_characteristics': {'avg_title_length': 8.333333333333334, 'common_seller_levels': {'New Seller': 3}, 'delivery_times': ['2 days', '2 days', '2 days'], 'price_range': {'min': 50, 'max': 50}}}"
quality website design,10,100.0,139.99999999999997,3,11.0,1.0,4.325000000000001,"[{'position': 1, 'title': 'N/A', 'price': 50, 'seller_level': 'New Seller', 'delivery_time': '2 days'}, {'position': 2, 'title': 'N/A', 'price': 50, 'seller_level': 'New Seller', 'delivery_time': '2 days'}, {'position': 3, 'title': 'I’m looking to hire', 'price': 50, 'seller_level': 'New Seller', 'delivery_time': '2 days'}]","{'common_title_words': {'looking': 1, 'hire': 1}, 'pricing_benchmarks': {'min_price': 50, 'max_price': 50, 'avg_price': 50.0, 'median_price': 50}, 'recommended_price_range': {'low': 40.0, 'medium': 50.0, 'high': 60.0}, 'top_performer_characteristics': {'avg_title_length': 8.333333333333334, 'common_seller_levels': {'New Seller': 3}, 'delivery_times': ['2 days', '2 days', '2 days'], 'price_range': {'min': 50, 'max': 50}}}"
website design,5,100.0,72.5,3,11.0,1.0,4.2406250000000005,"[{'position': 1, 'title': 'N/A', 'price': 50, 'seller_level': 'New Seller', 'delivery_time': '2 days'}, {'position': 2, 'title': 'N/A', 'price': 50, 'seller_level': 'New Seller', 'delivery_time': '2 days'}, {'position': 3, 'title': 'I’m looking to hire', 'price': 50, 'seller_level': 'New Seller', 'delivery_time': '2 days'}]","{'common_title_words': {'looking': 1, 'hire': 1}, 'pricing_benchmarks': {'min_price': 50, 'max_price': 50, 'avg_price': 50.0, 'median_price': 50}, 'recommended_price_range': {'low': 40.0, 'medium': 50.0, 'high': 60.0}, 'top_performer_characteristics': {'avg_title_length': 8.333333333333334, 'common_seller_levels': {'New Seller': 3}, 'delivery_times': ['2 days', '2 days', '2 days'], 'price_range': {'min': 50, 'max': 50}}}"
professional website design,5,100.0,69.99999999999999,3,11.0,1.0,4.237500000000001,"[{'position': 1, 'title': 'N/A', 'price': 50, 'seller_level': 'New Seller', 'delivery_time': '2 days'}, {'position': 2, 'title': 'N/A', 'price': 50, 'seller_level': 'New Seller', 'delivery_time': '2 days'}, {'position': 3, 'title': 'I’m looking to hire', 'price': 50, 'seller_level': 'New Seller', 'delivery_time': '2 days'}]","{'common_title_words': {'looking': 1, 'hire': 1}, 'pricing_benchmarks': {'min_price': 50, 'max_price': 50, 'avg_price': 50.0, 'median_price': 50}, 'recommended_price_range': {'low': 40.0, 'medium': 50.0, 'high': 60.0}, 'top_performer_characteristics': {'avg_title_length': 8.333333333333334, 'common_seller_levels': {'New Seller': 3}, 'delivery_times': ['2 days', '2 days', '2 days'], 'price_range': {'min': 50, 'max': 50}}}"
websitedesign,5,100.0,65.0,3,11.0,1.0,4.231250000000001,"[{'position': 1, 'title': 'N/A', 'price': 50, 'seller_level': 'New Seller', 'delivery_time': '2 days'}, {'position': 2, 'title': 'N/A', 'price': 50, 'seller_level': 'New Seller', 'delivery_time': '2 days'}, {'position': 3, 'title': 'I’m looking to hire', 'price': 50, 'seller_level': 'New Seller', 'delivery_time': '2 days'}]","{'common_title_words': {'looking': 1, 'hire': 1}, 'pricing_benchmarks': {'min_price': 50, 'max_price': 50, 'avg_price': 50.0, 'median_price': 50}, 'recommended_price_range': {'low': 40.0, 'medium': 50.0, 'high': 60.0}, 'top_performer_characteristics': {'avg_title_length': 8.333333333333334, 'common_seller_levels': {'New Seller': 3}, 'delivery_times': ['2 days', '2 days', '2 days'], 'price_range': {'min': 50, 'max': 50}}}"
expert website design,10,73.33333333333333,139.99999999999997,3,9.666666666666666,1.0,3.951666666666667,"[{'position': 1, 'title': 'N/A', 'price': 50, 'seller_level': 'New Seller', 'delivery_time': '2 days'}, {'position': 2, 'title': 'N/A', 'price': 50, 'seller_level': 'New Seller', 'delivery_time': '2 days'}, {'position': 3, 'title': 'I’m looking to hire', 'price': 50, 'seller_level': 'New Seller', 'delivery_time': '2 days'}]","{'common_title_words': {'looking': 1, 'hire': 1}, 'pricing_benchmarks': {'min_price': 50, 'max_price': 50, 'avg_price': 50.0, 'median_price': 50}, 'recommended_price_range': {'low': 40.0, 'medium': 50.0, 'high': 60.0}, 'top_performer_characteristics': {'avg_title_length': 8.333333333333334, 'common_seller_levels': {'New Seller': 3}, 'delivery_times': ['2 days', '2 days', '2 days'], 'price_range': {'min': 50, 'max': 50}}}"
website design service,8,45.0,111.99999999999999,3,8.25,1.0,3.5200000000000005,"[{'position': 1, 'title': 'N/A', 'price': 50, 'seller_level': 'New Seller', 'delivery_time': '2 days'}, {'position': 2, 'title': 'N/A', 'price': 50, 'seller_level': 'New Seller', 'delivery_time': '2 days'}, {'position': 3, 'title': 'I’m looking to hire', 'price': 50, 'seller_level': 'New Seller', 'delivery_time': '2 days'}]","{'common_title_words': {'looking': 1, 'hire': 1}, 'pricing_benchmarks': {'min_price': 50, 'max_price': 50, 'avg_price': 50.0, 'median_price': 50}, 'recommended_price_range': {'low': 40.0, 'medium': 50.0, 'high': 60.0}, 'top_performer_characteristics': {'avg_title_length': 8.333333333333334, 'common_seller_levels': {'New Seller': 3}, 'delivery_times': ['2 days', '2 days', '2 days'], 'price_range': {'min': 50, 'max': 50}}}"
website design expert,8,45.0,111.99999999999999,3,8.25,1.0,3.5200000000000005,"[{'position': 1, 'title': 'N/A', 'price': 50, 'seller_level': 'New Seller', 'delivery_time': '2 days'}, {'position': 2, 'title': 'N/A', 'price': 50, 'seller_level': 'New Seller', 'delivery_time': '2 days'}, {'position': 3, 'title': 'I’m looking to hire', 'price': 50, 'seller_level': 'New Seller', 'delivery_time': '2 days'}]","{'common_title_words': {'looking': 1, 'hire': 1}, 'pricing_benchmarks': {'min_price': 50, 'max_price': 50, 'avg_price': 50.0, 'median_price': 50}, 'recommended_price_range': {'low': 40.0, 'medium': 50.0, 'high': 60.0}, 'top_performer_characteristics': {'avg_title_length': 8.333333333333334, 'common_seller_levels': {'New Seller': 3}, 'delivery_times': ['2 days', '2 days', '2 days'], 'price_range': {'min': 50, 'max': 50}}}"
